LOAN  #,Account Number,Status,DEALER,NAME,YEAR,MAKE,MODEL,VIN,GAAP DATE,NOI SENT,DAFS,DATE SOLD,C/O DATE,MONTHS IN INVENTORY,LOCATION,SOLD TO,MILEAGE,CR Grade,CHARGEABLE DAMAGES,BALANCE REPO DATE,AWV,MMR,CASH PRICE,ESTIMATED RECOVERY %,CURRENT MO PROCEEDS ESTIMATE,EOM GAAP PROCEEDS ESTIMATE,ACTUAL PROCEEDS,BACK END PRODUCT CANCELLATION,INSURANCE CLAIMS,GROSS C/O AMT,UNEARNED DISCOUNT,NET LOSS OR GAIN,RECOVERY,REM BAL,CASH OR NEW A/C#?,REASON / COMMENTS,Notes,EXCEPTION?,EXCEPTION DETAIL,Same Month Sale,MIN VAL,GAIN (LOSS),% DIFF,REPO_MONTH,REPO_ALLOW2 (HIST),Proforma NRV,Proforma G/L,Proforma Difference
5285.1,1,Sold,LUX AUTO SALES,,2007.0,GMC,YUKON,1GKFK63847J351575,08/12/2019,08/12/2019,08/22/2019,09/25/2019,09/27/2019,20.2,IBEAM,CARS,147231.0,4.2,634.0,8488.2,11025.0,7650.0,7650.0,,0.0,5247.9,6800.0,0.0,0.0,-1688.2,1067.79,-620.41,,-620.41,,,,,,0,7650.0,-850.0,-0.1111111111111111,Aug-19,0.314,5247.9,1552.1000000000004,0.0
5289.1,1,Sold,FIRST CHOICE,,2012.0,CHEVY,EQUINOX,2GNALBEK7C6313583,05/15/2019,05/15/2019,05/28/2019,06/20/2019,06/28/2019,23.1,INNOVATE,INNOVATE,82078.0,1.3,1717.0,7523.5,6375.0,6000.0,6000.0,,0.0,4560.0,4300.0,0.0,0.0,-3223.5,1230.28,-1993.22,,-1993.22,,,,,,0,6000.0,-1700.0,-0.2833333333333333,May-19,0.24,4560.0,-260.0,-0.05701754385964912
5292.1,1,Sold,WATSON,,2017.0,KIA,FORTE,3KPFL4A72HE013209,10/23/2019,10/23/2019,11/04/2019,12/19/2019,12/31/2019,17.8,INNOVATE,INNOVATE,43025.0,2.1,2874.0,12303.3,10525.0,8525.0,8525.0,,0.0,5643.55,7500.0,0.0,0.0,-4803.3,1434.33,-3368.97,,-3368.97,,,,,,0,8525.0,-1025.0,-0.12023460410557185,Oct-19,0.338,5643.55,1856.4499999999998,0.0
5295.1,1,Sold,MY CAR STORE,,2014.0,FORD,Fusion,3FA6P0H72ER376607,03/09/2021,03/09/2021,03/19/2021,04/22/2021,,,CARS,,86293.0,2.1,3653.0,11215.01,,8075.0,8075.0,,,5870.98,6200.0,0.0,0.0,-5344.03,0.0,-5344.030000000001,,-5481.76,,,,,,0,8075.0,0.0,0.0,Mar-21,0.27294382319857075,,,
5297.1,1,Sold,SOUTH TEXAS AUTO,,2012.0,NISSAN,ROGUE,JN8AS5MT5CW255152,11/22/2019,11/22/2019,12/03/2019,01/03/2020,01/20/2020,16.8,CARS,CARS,79172.0,2.7,2978.0,10606.39,8775.0,7350.0,7350.0,,0.0,4865.7,4700.0,0.0,0.0,-5906.39,1121.83,-4784.56,,-4784.56,,,,,,0,7350.0,-2650.0,-0.36054421768707484,Nov-19,0.338,4865.7,-165.69999999999982,-0.03405470949709185
5299.1,1,Repo,SOUTH TEXAS AUTO,,,,,1GKKRRED6CJ132116,04/13/2021,04/13/2021,04/23/2021,,,0.0,CARS,,112337.0,,,10027.83,,7700.0,7700.0,0.71,5467.0,5800.030959752322,0.0,,0.0,5467.0,392.66,5859.66,,,,Skip,,,,,0.0,0.0,0.0,Apr-21,,,,
5304.1,1,Sold,MY CAR STORE,,2016.0,HYUNDAI,ACCENT,KMHCT4AE6GU016692,04/13/2020,04/13/2020,04/23/2020,06/11/2020,06/19/2020,12.0,CARS,CARS,79373.0,1.8,4236.0,7276.86,,4100.0,4100.0,,0.0,2820.8,3200.0,0.0,0.0,-4076.86,528.09,-3548.77,,-3548.77,,,,,,0,4100.0,-900.0,-0.21951219512195122,Apr-20,0.312,2820.8,379.1999999999998,0.0
5305.1,1,Sold,CAR COUNTRY,,2014.0,DODGE,CHARGER,2C3CDXHG1EH254593,06/18/2020,06/18/2020,06/29/2020,08/08/2020,08/13/2020,9.8,CARS,CARS,102534.0,2.3,2125.0,12795.14,,9300.0,9300.0,,0.0,6361.2,8250.0,0.0,0.0,-4545.14,1151.26,-3393.88,,-3393.88,,,,,,0,9300.0,-1050.0,-0.11290322580645161,Jun-20,0.316,6361.2,1888.8000000000002,0.0
5308.1,1,Sold,FIRST CHOICE,,2011.0,NISSAN,MAXIMA,1N4AA5AP3BC850996,06/25/2020,06/25/2020,07/06/2020,09/15/2020,09/28/2020,9.6,CARS,CARS,165231.0,2.2,4108.0,4754.02,,3400.0,3400.0,,0.0,2325.6,1000.0,0.0,0.0,-3754.02,468.78,-3285.24,,-3285.24,,,,,,0,3400.0,-2400.0,-0.7058823529411765,Jun-20,0.316,2325.6,-1325.6,-0.5700034399724802
5315.1,1,Sold,BROTHERS AUTOS,,2012.0,FORD,F-350,1FT8W3BT8CEA96557,03/17/2020,03/17/2020,03/27/2020,07/30/2020,07/30/2020,12.9,INNOVATE,INNOVATE,147292.0,1.9,2843.0,25435.27,,16200.0,16200.0,,0.0,11291.4,18250.0,0.0,0.0,-7185.27,1819.21,-5366.06,,-5366.06,,,,,,0,16200.0,2050.0,0.12654320987654322,Mar-20,0.303,11291.4,6958.6,0.0
